,time,type,size,price,direction
2019-12-06 13:01:00,46919.022714685,1,100,11243600,-1
2019-12-06 13:02:00,46979.159828887,1,21,11226400,1
2019-12-06 13:03:00,47039.830061386,1,100,11225400,1
2019-12-06 13:04:00,47099.909953279006,1,26,11223900,1
2019-12-06 13:05:00,47159.829535093,1,100,11230500,-1
2019-12-06 13:06:00,47219.96143366,1,61,11235400,-1
2019-12-06 13:07:00,47279.736024738,1,22,11227100,1
2019-12-06 13:08:00,47339.942011637,1,25,11235300,-1
2019-12-06 13:09:00,47398.785681575,1,22,11240800,-1
2019-12-06 13:10:00,47458.558863982995,1,100,11220100,1
2019-12-06 13:11:00,47519.035861988,1,20,11234600,-1
2019-12-06 13:12:00,47577.086540242,1,120,11240900,-1
2019-12-06 13:13:00,47639.827666318,1,25,11232700,-1
2019-12-06 13:14:00,47699.95909036,1,70,11232000,-1
2019-12-06 13:15:00,47758.735106702996,1,25,11224000,-1
2019-12-06 13:16:00,47819.912453022,1,26,11236800,-1
2019-12-06 13:17:00,47879.990577945,1,30,11232600,-1
2019-12-06 13:18:00,47939.95959834,1,35,11237100,-1
2019-12-06 13:19:00,47999.630515455996,1,21,11233600,-1
2019-12-06 13:20:00,48059.87708933,1,1,11235000,-1
2019-12-06 13:21:00,48117.773783375,1,20,11235600,-1
2019-12-06 13:22:00,48179.949765699996,1,35,11218600,1
2019-12-06 13:23:00,48239.724617227,3,20,11235200,-1
2019-12-06 13:24:00,48299.705071469005,1,23,11223300,1
2019-12-06 13:25:00,48359.691841285996,1,100,11236000,-1
2019-12-06 13:26:00,48419.445370635,1,21,11225500,1
2019-12-06 13:27:00,48478.616557322996,1,20,11226400,1
2019-12-06 13:28:00,48539.793485507995,1,51,11239600,-1
2019-12-06 13:29:00,48599.347280084,1,25,11241200,-1
2019-12-06 13:30:00,48659.80856657401,1,100,11236800,-1
2019-12-06 13:31:00,48716.996450499006,1,100,11240700,-1
2019-12-06 13:32:00,48779.727412508,1,5,11233100,1
2019-12-06 13:33:00,48839.66374366901,1,34,11231700,1
2019-12-06 13:34:00,48899.945574525,3,35,11240400,1
2019-12-06 13:35:00,48959.912848490996,1,27,11242300,1
2019-12-06 13:36:00,49019.484213492,1,1,11247200,1
2019-12-06 13:37:00,49079.762107604,1,24,11242900,1
2019-12-06 13:38:00,49139.98212734,1,100,11242100,1
2019-12-06 13:39:00,49199.211502902,3,39,11247500,1
2019-12-06 13:40:00,49259.309372692005,1,90,11259000,-1
2019-12-06 13:41:00,49319.962088047,1,24,11261300,-1
2019-12-06 13:42:00,49375.408439788,1,13,11250200,1
2019-12-06 13:43:00,49439.446999994005,1,130,11265500,-1
2019-12-06 13:44:00,49499.887166317996,1,22,11269300,-1
2019-12-06 13:45:00,49559.160881656,1,31,11254700,1
2019-12-06 13:46:00,49619.327041304,1,20,11264500,1
2019-12-06 13:47:00,49679.530475557,1,25,11285200,-1
2019-12-06 13:48:00,49739.807318322004,1,20,11278000,1
2019-12-06 13:49:00,49799.968004742004,1,27,11297200,-1
2019-12-06 13:50:00,49859.942701880995,1,55,11280700,1
2019-12-06 13:51:00,49919.616843549,1,21,11282700,1
2019-12-06 13:52:00,49979.234559785,1,20,11294700,1
2019-12-06 13:53:00,50039.969299264005,3,29,11303300,-1
2019-12-06 13:54:00,50099.433718037,1,10,11291500,1
2019-12-06 13:55:00,50159.985130828,1,1,11302800,-1
2019-12-06 13:56:00,50219.692112756,1,21,11305800,-1
2019-12-06 13:57:00,50278.862359506,3,100,11297200,1
2019-12-06 13:58:00,50339.942109585994,1,1,11286600,1
2019-12-06 13:59:00,50399.603170619004,1,120,11290600,1
2019-12-06 14:00:00,50459.912842095,1,100,11299500,1
2019-12-06 14:01:00,50517.137106185,1,90,11294200,1
2019-12-06 14:02:00,50579.69733276901,1,1,11303100,-1
2019-12-06 14:03:00,50639.872121440996,1,20,11297900,1
